Name,Email,Lineitem quantity,Lineitem name,Lineitem sku,Lineitem requires shipping,Lineitem fulfillment status,Shipping Name
#12444,email123@test.com,1,"Just Cat Sampler Pack - Raw, Substitute with Boneless Rabbit",JC Sampler Pack Raw Boneless Rabbit,true,pending,Name Foo
#12443,email123@test.com,1,Custom Cat Meals 5lb,Custom Cat Meal 5lb,true,pending,Name Foo
#12443,email123@test.com,1,Custom Cat Meals 5lb - Selections,,false,pending,Name Foo
#12443,email123@test.com,1,Just Cat Rabbit w/bone - 16oz,JC Rabbit w/bone 16oz,true,pending,Name Foo
#12443,email123@test.com,1,Just Cat Boneless Rabbit - 16oz,JC Boneless Rabbit 16oz raw,true,pending,Name Foo
#12442,email123@test.com,1,Courier Service,,false,pending,Name Foo
#12441,email123@test.com,1,"Just Cat Sampler Pack - Raw, Rabbit with bone",JC Sampler Pack Raw Rabbit w/bone,true,pending,Name Foo
#12440,email123@test.com,1,"Jerky Treats, 4oz - Rabbit",Jerky Rabbit,true,pending,Name Foo
#12439,email123@test.com,1,Courier Service,,false,pending,Name Foo
#12438,email123@test.com,1,"Large Bites For Oral Health, 8oz - Pork",Bites Pork,true,fullfilled,Name Foo
#12438,email123@test.com,3,Just Cat Boneless Rabbit - 16oz,JC Boneless Rabbit 16oz raw,true,pending,Name Foo
#12437,email123@test.com,3,Custom Dog Meals 5lb,Custom Dog Meal 5lb,true,pending,Name Foo
#12437,email123@test.com,3,Custom Dog Meals 5lb - Selections,,false,pending,Name Foo
#12436,email123@test.com,3,Just Cat Lamb - 16oz,JC Lamb 16oz,true,pending,Name Foo
#12436,email123@test.com,20,Just Cat Venison - 16oz,JC Venison 16oz,true,pending,Name Foo
#12433,email123@test.com,4,Custom Cat Meals 5lb,Custom Cat Meal 5lb,true,pending,Name Foo
#12433,email123@test.com,4,Custom Cat Meals 5lb - Selections,,false,pending,Name Foo
#12432,email123@test.com,12,Just Cat Rabbit w/bone - 32oz,JC Rabbit w/bone 32oz,true,fullfilled,Name Foo
#12431,email123@test.com,15,"PREMIUM Cat Wild Boar, 16oz - Raw",PC Wild Boar 16oz Raw,true,pending,Name Foo
#12431,email123@test.com,4,Just Cat Turkey - 16oz,JC Turkey 16oz,true,pending,Name Foo
#12431,email123@test.com,4,Just Cat Rabbit w/bone - 16oz,JC Rabbit w/bone 16oz,true,pending,Name Foo
#12431,email123@test.com,10,Just Cat Boneless Rabbit - 16oz,JC Boneless Rabbit 16oz raw,true,pending,Name Foo
#12431,email123@test.com,2,"Large Bites For Oral Health, 8oz - Pork",Bites Pork,true,pending,Name Foo
#12430,email123@test.com,3,Just Cat Boneless Rabbit Auto renew - 16oz,JC Boneless Rabbit 16oz raw,true,pending,Name Foo
#12429,email123@test.com,4,Just Cat Boneless Rabbit - 16oz,JC Boneless Rabbit 16oz raw,true,pending,Name Foo
#12428,email123@test.com,2,Only Dog Beef - 16oz,OD Beef 16oz,true,pending,Name Foo
